2026-02-05 11:35:38,589 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='COFORGE', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:35:45,918 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH 24 FEB 1600 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:35:48,507 - INFO - CALL_ALLOWED - DATA_API - tsl.get_option_chain(HCLTECH, NFO, 0, 0) - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:03,956 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:06,416 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL 24 FEB 500 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:11,126 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:13,575 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH 24 FEB 1600 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:23,202 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:25,666 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL 24 FEB 500 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:30,431 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:32,875 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH 24 FEB 1600 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:43,121 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:46,340 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL 24 FEB 500 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:50,972 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:36:54,154 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH 24 FEB 1600 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:37:03,790 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:37:06,279 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL 24 FEB 500 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:37:10,900 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:37:13,416 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HCLTECH 24 FEB 1600 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
